//--- MainDialog
language,	original
MainDialog_ButtonCenter1,	"Center1"
MainDialog_ButtonCenter2,	"Center2"
MainDialog_ButtonCenter3,	"Center3"
MainDialog_ButtonCenter4,	"Center4"
MainDialog_ButtonCenter5,	"Center5"
MainDialog_ButtonCenter6,	"Center6"
MainDialog_ButtonRight1,	"Right1"
MainDialog_ButtonRight2,	"Right2"
MainDialog_ButtonRight3,	"Right3"
MainDialog_ButtonRight4,	"Right4"
MainDialog_ButtonRight5,	"Right5"
MainDialog_ButtonLeft1,	"Left1"
MainDialog_ButtonLeft2,	"Left2"
MainDialog_ButtonLeft3,	"Left3"
MainDialog_ButtonLeft4,	"Left4"
MainDialog_ButtonLeft5,	"Left5"
MainDialog_ButtonFooter1,	"Footer1"
MainDialog_ButtonFooter2,	"Footer2"
MainDialog_ButtonFooter3,	"Footer3"
MainDialog_ButtonFooter4,	"Footer4"
MainDialog_ButtonFooter5,	"Footer5"
MainDialog_ButtonHeader1,	"Header1"
MainDialog_ButtonHeader2,	"Header2"
MainDialog_ButtonHeader3,	"Header3"
MainDialog_ButtonHeader4,	"Header4"
MainDialog_ButtonHeader5,	"Header5"
